date,home,away,predicted_margin,actual_margin,predicted_win_prob,model_correct,margin_error,predicted_total,actual_total,total_error,confidence,games_used_home,games_used_away
2024-06-18,CON,LA,10.97,9.0,0.8064,True,1.9700000000000006,154.8,149.0,5.800000000000011,High,13,14
2024-06-19,PHX,NY,-5.47,6.0,0.3295,False,11.469999999999999,167.1,192.0,24.900000000000006,Medium,14,14
2024-06-19,IND,WAS,-0.43,7.0,0.4862,False,7.43,160.0,169.0,9.0,Low,15,14
2024-06-20,MIN,ATL,8.39,13.0,0.7485,True,4.609999999999999,159.5,123.0,36.5,High,14,12
2024-06-20,LV,SEA,0.0,11.0,0.5,False,11.0,170.2,177.0,6.800000000000011,Low,12,14
2024-06-20,CHI,DAL,4.41,11.0,0.6397,True,6.59,162.0,155.0,7.0,Medium,13,13
2024-06-20,NY,LA,10.91,13.0,0.8052,True,2.09,163.5,173.0,9.5,High,15,15
2024-06-21,ATL,IND,4.95,-12.0,0.6556,False,16.95,157.3,170.0,12.699999999999989,Medium,13,16
2024-06-22,LV,CON,-3.76,11.0,0.3802,False,14.76,163.0,159.0,4.0,Medium,13,14
2024-06-22,WAS,DAL,1.56,28.0,0.5506,True,26.44,159.3,166.0,6.699999999999989,Low,15,14
2024-06-22,NY,LA,11.58,10.0,0.8185,True,1.58,164.9,186.0,21.099999999999994,High,16,16
2024-06-23,MIN,PHX,9.81,13.0,0.7816,True,3.1899999999999995,164.4,133.0,31.400000000000006,High,15,15
2024-06-23,ATL,NY,-4.33,-21.0,0.3629,True,16.67,160.4,171.0,10.599999999999994,Medium,14,17
2024-06-23,WAS,DAL,4.95,8.0,0.6556,True,3.05,158.6,176.0,17.400000000000006,Medium,16,15
2024-06-23,SEA,CON,0.55,11.0,0.5177,True,10.45,155.6,133.0,22.599999999999994,Low,15,15
2024-06-23,CHI,IND,5.77,1.0,0.6791,True,4.77,161.9,175.0,13.099999999999994,Medium,14,17
2024-06-26,NY,MIN,1.39,-5.0,0.545,False,6.39,166.0,183.0,17.0,Low,18,16
2024-06-27,DAL,MIN,-6.94,6.0,0.2887,False,12.940000000000001,162.6,182.0,19.400000000000006,High,16,17
2024-06-27,WAS,CON,-4.32,-3.0,0.3632,True,1.3200000000000003,153.9,185.0,31.099999999999994,Medium,17,16
2024-06-27,CHI,LV,-0.01,-12.0,0.4996,True,11.99,167.3,178.0,10.699999999999989,Low,15,14
2024-06-28,SEA,IND,8.67,12.0,0.7552,True,3.33,164.4,166.0,1.5999999999999943,High,16,18
2024-06-28,CON,ATL,8.41,-4.0,0.749,False,12.41,150.7,152.0,1.3000000000000114,High,17,15
2024-06-29,PHX,LA,4.58,14.0,0.6445,True,9.42,163.2,170.0,6.800000000000011,Medium,16,17
2024-06-29,WAS,LV,-2.06,-11.0,0.4334,True,8.94,169.7,165.0,4.699999999999989,Low,18,15
2024-06-30,SEA,DAL,8.67,21.0,0.7554,True,12.33,164.8,173.0,8.199999999999989,High,17,17
2024-06-30,NY,ATL,10.85,6.0,0.8039,True,4.85,162.9,156.0,6.900000000000006,High,19,16
2024-06-30,CHI,MIN,-4.81,-8.0,0.3486,True,3.1900000000000004,162.2,132.0,30.19999999999999,Medium,16,18
2024-06-30,PHX,IND,5.35,-6.0,0.6672,False,11.35,166.7,170.0,3.3000000000000114,Medium,17,19
2024-07-02,PHX,CON,-4.26,-11.0,0.3651,True,6.74,160.5,155.0,5.5,Medium,18,18
2024-07-02,SEA,DAL,9.93,24.0,0.7843,True,14.07,164.6,166.0,1.4000000000000057,High,18,18
2024-07-02,NY,MIN,1.48,9.0,0.548,True,7.52,167.0,143.0,24.0,Low,20,19
2024-07-02,ATL,CHI,0.43,-8.0,0.514,False,8.43,155.7,162.0,6.300000000000011,Low,17,17
2024-07-03,LV,IND,8.8,19.0,0.7583,True,10.2,173.6,157.0,16.599999999999994,High,16,20
2024-07-03,LA,WAS,-0.3,-2.0,0.4904,True,1.7,162.6,162.0,0.5999999999999943,Low,18,19
2024-07-04,DAL,PHX,-1.5,-8.0,0.4514,True,6.5,167.2,200.0,32.80000000000001,Low,19,19
2024-07-05,MIN,CON,2.87,-5.0,0.5922,False,7.87,156.8,151.0,5.800000000000011,Low,20,19
2024-07-05,LV,WAS,7.14,21.0,0.7168,True,13.86,170.8,175.0,4.199999999999989,High,17,20
2024-07-05,DAL,ATL,-0.62,3.0,0.4799,False,3.62,161.4,167.0,5.599999999999994,Low,20,18
2024-07-06,LA,LV,-4.47,5.0,0.3587,False,9.469999999999999,170.4,191.0,20.599999999999994,Medium,19,18
2024-07-06,SEA,CHI,6.78,-4.0,0.707,False,10.780000000000001,162.0,172.0,10.0,High,19,18
2024-07-06,IND,NY,-8.79,5.0,0.2417,False,13.79,170.6,161.0,9.599999999999994,High,21,21
2024-07-07,MIN,WAS,9.85,7.0,0.7826,True,2.8499999999999996,161.8,141.0,20.80000000000001,High,21,21
2024-07-07,CON,ATL,9.0,13.0,0.7631,True,4.0,154.1,147.0,7.099999999999994,High,20,19
2024-07-07,LV,DAL,10.65,19.0,0.7996,True,8.35,174.4,189.0,14.599999999999994,High,19,21
2024-07-07,SEA,CHI,7.62,13.0,0.7293,True,5.38,163.2,155.0,8.199999999999989,High,20,19
2024-07-07,LA,PHX,-1.53,-6.0,0.4503,True,4.47,169.2,162.0,7.199999999999989,Low,20,20
2024-07-10,LA,MIN,-7.42,-15.0,0.2759,True,7.58,159.8,149.0,10.800000000000011,High,21,22
2024-07-10,CON,NY,1.62,-3.0,0.5524,False,4.62,163.6,139.0,24.599999999999994,Low,21,22
2024-07-10,IND,WAS,0.64,-5.0,0.5208,False,5.64,164.0,173.0,9.0,Low,22,22
2024-07-10,CHI,ATL,4.15,9.0,0.6316,True,4.85,156.6,147.0,9.599999999999994,Medium,20,20
2024-07-10,SEA,LV,2.58,-5.0,0.5832,False,7.58,172.3,163.0,9.300000000000011,Low,21,20
2024-07-10,PHX,DAL,6.34,16.0,0.6952,True,9.66,171.9,184.0,12.099999999999994,Medium,21,22
2024-07-11,NY,CHI,9.36,15.0,0.7714,True,5.640000000000001,164.1,167.0,2.9000000000000057,High,23,21
2024-07-12,ATL,LV,-5.27,-14.0,0.3352,True,8.73,164.9,154.0,10.900000000000006,Medium,21,21
2024-07-12,IND,PHX,-1.84,9.0,0.4404,False,10.84,170.2,181.0,10.800000000000011,Low,23,22
2024-07-13,SEA,MIN,0.12,28.0,0.5039,True,27.88,160.2,154.0,6.199999999999989,Low,22,23
2024-07-13,CHI,NY,-4.82,-14.0,0.3484,True,9.18,164.8,148.0,16.80000000000001,Medium,22,24
2024-07-13,DAL,LA,1.08,-6.0,0.535,False,7.08,167.5,168.0,0.5,Low,23,22
2024-07-14,CON,PHX,8.1,27.0,0.7413,True,18.9,161.6,165.0,3.4000000000000057,High,22,23
2024-07-14,WAS,LV,-4.26,-12.0,0.3651,True,7.74,170.3,166.0,4.300000000000011,Medium,23,22
2024-07-14,MIN,IND,10.56,-7.0,0.7978,False,17.560000000000002,160.6,155.0,5.599999999999994,High,24,24
2024-07-14,SEA,ATL,9.99,11.0,0.7857,True,1.0099999999999998,157.7,151.0,6.699999999999989,High,23,22
2024-07-16,WAS,PHX,0.63,-9.0,0.5204,False,9.63,167.6,183.0,15.400000000000006,Low,24,24
2024-07-16,LA,SEA,-6.93,-6.0,0.2888,True,0.9299999999999997,163.6,172.0,8.400000000000006,High,23,24
2024-07-16,NY,CON,2.4,8.0,0.5773,True,5.6,160.0,156.0,4.0,Low,25,23
2024-07-17,LV,CHI,7.87,-8.0,0.7356,False,15.870000000000001,166.6,178.0,11.400000000000006,High,23,23
2024-07-17,MIN,ATL,9.82,7.0,0.7819,True,2.8200000000000003,153.3,165.0,11.699999999999989,High,25,23
2024-07-17,DAL,IND,-0.05,8.0,0.4983,False,8.05,170.4,194.0,23.599999999999994,Low,24,25
2024-08-16,CHI,PHX,2.0,-20.0,0.5645,False,22.0,165.2,150.0,15.199999999999989,Low,24,25
2024-08-16,MIN,WAS,9.27,11.0,0.7694,True,1.7300000000000004,160.8,147.0,13.800000000000011,High,26,25
2024-08-16,LA,NY,-8.39,-35.0,0.2514,True,26.61,165.0,171.0,6.0,High,24,26
2024-08-16,ATL,SEA,-6.5,2.0,0.3006,False,8.5,157.7,164.0,6.300000000000011,Medium,24,25
2024-08-16,IND,PHX,-0.54,9.0,0.4824,False,9.54,170.3,187.0,16.69999999999999,Low,26,25
2024-08-17,DAL,CON,-8.01,-18.0,0.2609,True,9.99,164.7,200.0,35.30000000000001,High,25,24
2024-08-17,WAS,MIN,-4.37,-16.0,0.3617,True,11.629999999999999,157.9,182.0,24.099999999999994,Medium,26,27
2024-08-17,LV,NY,0.77,-12.0,0.525,False,12.77,167.4,146.0,21.400000000000006,Low,24,27
2024-08-17,LA,CHI,-0.0,-4.0,0.4999,True,4.0,160.3,176.0,15.699999999999989,Low,25,25
