game_date,away_team,home_team,home_win,home_moneyline,away_moneyline,heuristic_home_win_probability,heuristic_predicted_winner,heuristic_correct,raw_model_home_win_probability,raw_home_win_probability,calibrated_home_win_probability,hybrid_predicted_winner,hybrid_correct,side_probability_delta,heuristic_total_runs,raw_model_total_runs,predicted_total_runs,total_runs
2024-07-24,Baltimore Orioles,Miami Marlins,1,121.0,-148.0,0.3073905416703814,Baltimore Orioles,False,0.4779925784391308,0.41828186557006847,0.4656084656084656,Baltimore Orioles,False,0.1582179239380842,7.552,7.376564484165524,7.481825793666209,9
2024-08-16,Miami Marlins,New York Mets,1,-270.0,220.0,0.5833727520947805,New York Mets,True,0.7816496791958651,0.7122527547104855,0.7407407407407407,New York Mets,True,0.15736798864596024,9.612,8.710175917934452,9.251270367173781,10
2024-08-29,Texas Rangers,Chicago White Sox,0,,,0.23634369089777235,Texas Rangers,True,0.2790983406334456,0.2641342132259599,0.08,Texas Rangers,True,0.15634369089777234,9.621,8.381786161841555,9.125314464736622,3
2024-09-09,Los Angeles Angels,Minnesota Twins,0,-180.0,142.0,0.6218334598961827,Minnesota Twins,False,0.36652670317857605,0.45588406802973835,0.4656084656084656,Los Angeles Angels,True,0.15622499428771708,6.398,9.982109851013707,7.831643940405483,8
2024-08-03,Baltimore Orioles,Cleveland Guardians,0,100.0,-122.0,0.4735921074154456,Baltimore Orioles,True,0.375290243795345,0.4096958960623802,0.3194444444444444,Baltimore Orioles,True,0.1541476629710012,7.109,9.870290512356695,8.213516204942678,11
2024-09-16,Oakland Athletics,Chicago Cubs,1,,,0.5873623864859323,Chicago Cubs,True,0.7591490597800981,0.6990237241271401,0.7407407407407407,Chicago Cubs,True,0.1533783542548084,7.876,9.481751295947173,8.518300518378869,11
2024-09-15,Oakland Athletics,Chicago White Sox,1,,,0.4711785051743243,Oakland Athletics,False,0.2994093359985456,0.35952854521006816,0.3181818181818182,Oakland Athletics,False,0.15299668699250613,8.336,8.22467289198171,8.291469156792683,7
2024-09-13,Baltimore Orioles,Detroit Tigers,1,110.0,-130.0,0.47242249162271727,Baltimore Orioles,False,0.3562346964917794,0.3969004247876077,0.3194444444444444,Baltimore Orioles,False,0.15297804717827285,5.5,10.687379190762506,7.574951676305003,1
2024-08-16,Washington Nationals,Philadelphia Phillies,1,,,0.5886841381130036,Philadelphia Phillies,True,0.73840125497266,0.6860002640717802,0.7407407407407407,Philadelphia Phillies,True,0.15205660262773713,11.136,10.078395453111176,10.71295818124447,5
2024-08-21,Seattle Mariners,Los Angeles Dodgers,1,-188.0,156.0,0.47099755537467164,Seattle Mariners,False,0.358700179251816,0.3980042608948155,0.3194444444444444,Seattle Mariners,False,0.15155311093022722,9.173,9.816502587264043,9.430401034905618,9
2024-09-14,Houston Astros,Los Angeles Angels,0,138.0,-163.0,0.4704508531803888,Houston Astros,True,0.3451386990011307,0.388997952963871,0.3194444444444444,Houston Astros,True,0.1510064087359444,6.77,10.31906066637751,8.189624266551004,8
2024-09-19,Washington Nationals,Chicago Cubs,1,,,0.5898097589871848,Chicago Cubs,True,0.7462186063889744,0.691475509798348,0.7407407407407407,Chicago Cubs,True,0.1509309817535559,9.505,9.924506634715073,9.67280265388603,13
2024-07-20,Chicago White Sox,Kansas City Royals,1,,,0.5900747707547261,Kansas City Royals,True,0.7537002432628049,0.6964313278849774,0.7407407407407407,Kansas City Royals,True,0.15066596998601456,7.334,10.549104457708287,8.620041783083314,7
2024-09-21,Atlanta Braves,Miami Marlins,0,224.0,-276.0,0.3404506045571294,Atlanta Braves,True,0.30819102536238097,0.3194818780805429,0.19047619047619047,Atlanta Braves,True,0.14997441408093892,7.678,9.483780824269214,8.400312329707685,8
2024-09-08,Philadelphia Phillies,Miami Marlins,1,114.0,-135.0,0.3161110331097444,Philadelphia Phillies,False,0.46493461332232683,0.412846360247923,0.4656084656084656,Philadelphia Phillies,False,0.14949743249872116,7.335,9.49979776911579,8.200919107646316,11
2024-08-29,San Francisco Giants,Milwaukee Brewers,1,-136.0,111.0,0.517613200432735,Milwaukee Brewers,True,0.7195080234075777,0.6488448353663827,0.6666666666666666,Milwaukee Brewers,True,0.14905346623393168,8.109,9.043553919156874,8.48282156766275,6
